GradeLevel,Page_Grp,ProfLevel,profLabel,Listening_Arguments,Listening_Explanations,Listening_Recounts,Oral Language_Discuss,Reading_Arguments,Reading_Explanations,Reading_Recounts,Speaking_Argue,Speaking_Explain,Speaking_Recount,Writing_Argue,Writing_Explain,Writing_Recounts
1,2,5,Bridging,,,,,<startL> - Determining what happens next from illustrated observations }  - Identifying evidence or reasons in peersÆ written text } <endL>,<startL> - Ordering content-related events according to information in illustrated texts }  - Identifying steps or stages of content-related processes or events from informational or explanatory texts } <endL>,"<startL> - Distinguishing among characters, settings, and events in narratives }  - Reconstructing texts read orally using drawings or reenacting text with performances } <endL>",,,,<startL> - Providing simple edits to peersÆ writing }  - Elaborating content-related claims with examples } <endL>,"<startL> - Describing causes and effects of actions and strategies }  - Sequencing steps in solving problems using short sentences, illustrations, and symbols } <endL>",<startL> - Composing stories or narratives using sequential language }  - Editing personal narratives based on criteria for success } <endL>
1,2,6,Reaching,,,,,"<startL> - Predicting meaning of words based on clues from sentence-level context }  - Identifying similarities in and differences between two texts on the same topic <i>(e.g., in illustrations, descriptions, or procedures)</i> } <endL>","<startL> - Identifying words and phrases related to cause and effect }  - Identifying reasons for actions in stories, songs, and poems } <endL>",<startL> - Identifying who is telling the story at various points in texts }  - Matching original text to paraphrased versions } <endL>,,,,<startL> - Using persuasive language in a variety of sentences }  - Producing opinion pieces by stating an opinion and providing a connected reason } <endL>,"<startL> - Predicting how stories, events, or situations might end }  - Producing texts that can name a topic and supply topic-related facts } <endL>",<startL> - Producing narratives with at least two sequential events }  - Producing narrative sequences from timelines and labeled drawings } <endL>
2,1,1,Entering,"<startL> - Indicating personal points of view in response to oral phrases or short sentences <i>(e.g., by thumbs up/thumbs down; agree/disagree cards)</i> }  - Identifying preferences from short oral statements } <endL>","<startL> - Pointing to visual characteristics of models or real-life objects from oral clues }  - Pairing objects, pictures, or equations as directed by a partner } <endL>","<startL> - Showing what happens next based on familiar oral stories <i>(e.g., by pointing or drawing)</i> }  - Drawing or providing other visual displays of people, animals, or objects in response to oral prompts } <endL>","<startL> - Expressing own ideas through drawings, gestures, words and phrases }  - Expressing agreement/ disagreement nonverbally <i>(e.g., thumbs up or down)</i> } <endL>",,,,<startL> - Stating a claim or position from models or examples }  - Sharing facts as evidence using sentence starters or sentence frames } <endL>,"<startL> - Describing the outcomes of experiments or stories with guidance and visual support }  - Naming or answering Wh- questions related to classroom routines <i>(e.g., 'What do we do now?')</i> } <endL>","<startL> - Responding to questions related to stories or experiences <i>(e.g., 'Who came to the door?')</i> }  - Acting out and naming events or experiences throughout the school day } <endL>",,,
2,1,2,Emerging,"<startL> - Distinguishing opinions from facts from peersÆ oral presentations }  - Categorizing content-based pictures or objects from oral descriptions <i>(e.g., 'animals that form groups to help members survive')</i> } <endL>","<startL> - Matching oral descriptions to photos, pictures, or icons }  - Following simple sequences presented orally to create patterns or sequences } <endL>",<startL> - Identifying the 'who }  - Identifying main materials or resources from oral descriptions } <endL>,<startL> - Asking yes or no questions to request clarification }  - Recognizing how different intonation conveys different meanings } <endL>,,,,"<startL> - Telling what comes next and showing why }  - Sharing reasons for opinions or claims <i>(e.g., science experiments)</i> } <endL>",<startL> - Naming steps in processes or procedures }  - Describing familiar phenomena in words or phrases } <endL>,<startL> - Reproducing facts or statements in context }  - Participating in multi-media presentations based on research } <endL>,,,
2,1,3,Developing,<startL> - Identifying similarities and differences from oral content-related materials or equipment }  - Identifying different points of view in short oral dialogues } <endL>,<startL> - Carrying out steps described orally to solve problems }  - Completing graphic organizers or representations from oral comparisons } <endL>,"<startL> - Identifying linking words or phrases related to passage of time in speech <i>(e.g., 'on Monday' 'the next day')</i> }  - Illustrating events in response to audio recordings of stories or poems } <endL>",<startL> - Negotiating agreement in small groups }  - Expressing own ideas consistent with the topic discussed } <endL>,,,,"<startL> - Describing organizing categories for content-related information <i>(e.g., fish/birds, forests/ deserts)</i> }  - Asking and answering questions in collaborative groups } <endL>",<startL> - Describe relationships between objects or uses for tools }  - Expressing cause and effect of behaviors or events } <endL>,<startL> - Retelling simple stories from picture cues }  - Stating information from personal or school-related experiences } <endL>,,,
2,1,4,Expanding,<startL> - nterpreting oral information from different sides }  - Identifying opposing sides of arguments in dialogues } <endL>,<startL> - Identifying connectors in speech or text read aloud }  - Identifying content-related ideas and details in oral discourse } <endL>,"<startL> - Re-enacting content-related situations or events from oral descriptions }  - Identifying content-related ideas from oral discourse using multi-media <i>(e.g., retracing steps of a process)</i> } <endL>",<startL> - Expressing own ideas and supporting ideas of others }  - Proposing new solutions to resolve conflict in small groups } <endL>,,,,<startL> - Defend claims or opinions to content-related topics }  - Posing different solutions to content-related issues or problems } <endL>,<startL> - Stating details of processes or procedures }  - Describing consequences of behaviors or occurrences } <endL>,"<startL> - Sequencing events in stories with temporal transitions <i>(e.g., 'After the sun set...')</i> }  - Describing situations and events from school and the community } <endL>",,,
2,1,5,Bridging,<startL> - Comparing oral arguments with representations and models }  - Identifying claims in oral presentations } <endL>,<startL> - Identifying the purpose of language/the message in each content area }  - Following a series of short oral directions to create models of content-area phenomena or processes } <endL>,"<startL> - Identifying details of content-related topics from oral discourse }  - Making designs or models following oral directions and specifications <i>(e.g., maps, origami)</i> } <endL>","<startL> - Initiating and maintaining conversations }  - Challenging ideas respectfully }  - Listening to, building, and extending ideas } <endL>",,,,<startL> - Expressing and supporting different ideas with examples }  - Providing evidence to defend own ideas } <endL>,"<startL> - Connecting ideas in content-related presentations }  - Elaborating on the cause of various phenomena <i>(e.g., shooting stars, sunsets)</i> } <endL>",<startL> - Describing main ideas of content-related information }  - Asking and answering questions about information from speakers } <endL>,,,
2,1,6,Reaching,<startL> - Identifying evidence to support claims/ opinions from multimedia }  - Following agreed-upon rules for discussions around differing opinions } <endL>,"<startL> - Distinguishing shades of meaning among closely related words in oral discourse <i>(e.g., jump/leap, huge/ enormous)</i> }  - Comparing strategies from extended oral discourse } <endL>",<startL> - Identifying key ideas or details from texts read aloud or information presented orally }  - Determining the main ideas and supporting details of texts read aloud or information in diverse media and formats } <endL>,<startL> - Sharing topic-related information }  - Building on remarks of others by linking comments }  - Maintaining audience engagement through specific language and body movement } <endL>,,,,<startL> - Connecting personal comments to the remarks of others to build a case for ideas or opinions }  - Summarizing ideas or opinions from two sides } <endL>,<startL> - Elaborating on ideas in light of conversations among students }  - Synthesizing main ideas from supporting details of text read aloud or information obtained from diverse media } <endL>,<startL> - Providing descriptive details of content-related information or activities }  - Naming the steps for producing multimedia presentations with some detail } <endL>,,,
2,2,1,Entering,,,,,"<startL> - Identifying facts in illustrated informational text read orally }  - Identifying language related to likes, needs, and wants in labeled illustrations } <endL>",<startL> - Identifying words and phrases in titles and highlighted texts }  - Matching pictures with graphic information from illustrated texts } <endL>,"<startL> - Identifying key words and phrases in illustrated text }  - Signaling language associated with content-related information <i>(e.g., during preview, view, & review)</i> } <endL>",,,,"<startL> - Indicating decisions or preferences through labeled pictures, words, or phrases }  - Providing evidence of natural phenomena or opinions through labeled drawings } <endL>",<startL> - Listing and illustrating ideas }  - Stating facts associated with images or illustrations } <endL>,"<startL> - Labeling images that illustrate the steps for different processes <i>(e.g., writing workshop)</i> }  - Creating visual representations of ideas or stories } <endL>"
2,2,2,Emerging,,,,,"<startL> - Distinguishing fact from fiction <i>(e.g., using sentence strips or highlighting texts)</i> }  - Identifying claims or opinions in illustrated texts } <endL>","<startL> - Interpreting images, illustrations, and graphics }  - Identifying elements of expository texts <i>(e.g., graphs, captions)</i> in illustrated texts } <endL>","<startL> - Identifying time-related language in context <i>(e.g., in biographies)</i> }  - Illustrating experiences of characters in illustrated statements } <endL>",,,,"<startL> - Participating in shared opinion writing experiences }  - Connecting preferences, choices, or opinions to reasons } <endL>","<startL> - Describing elements of processes or procedures }  - Stating how something happens using illustrations and sequential language <i>(e.g., eruption of volcanoes)</i> } <endL>",<startL> - Listing ideas using graphic organizers }  - Describing visual information } <endL>
2,2,3,Developing,,,,,"<startL> - Identifying different ideas or opinions in written texts }  - Identifying general academic and content-related words and phrases in text relevant to the genre/key use <i>(e.g., 'once upon a time' indicates a fairy tale)</i> } <endL>",<startL> - Sequencing sentences descriptive of processes or procedures in informational texts }  - Locating details in content area texts or media } <endL>,"<startL> - Creating timelines or graphic organizers from illustrated related statements or paragraphs }  - Identifying temporal-related words that signal order of events <i>(e.g., 'In the beginningà')</i> } <endL>",,,,<startL> - Communicating different content-related ideas or opinions }  - Describing pros and cons related to social issues or familiar topics } <endL>,<startL> - Comparing causes of different phenomena }  - Stating ideas about content-related topics } <endL>,"<startL> - Retelling past experiences }  - Expressing ideas in various genres <i>(e.g., poetry, interactive journals)</i> } <endL>"
2,2,4,Expanding,,,,,"<startL> - Sorting content-related information according to specific criteria <i>(e.g., pros and cons)</i> }  - Identifying reasons to strengthen arguments } <endL>",<startL> - Illustrating cause/ effect relationships in content area texts }  - Classifying main ideas and details in informational or explanatory texts } <endL>,<startL> - Ordering a series of events based on familiar texts }  - Identifying main ideas and details in illustrated texts } <endL>,,,,<startL> - Supporting main ideas or opinions with evidence from texts }  - Providing evidence to support or refute peersÆ ideas } <endL>,"<startL> - Relating details and illustrating stages of different cycles <i>(e.g. frogs, plants)</i> }  - Describing strategies to solve problems } <endL>",<startL> - Describing a series of events or procedures }  - Creating stories with details about characters and events } <endL>
2,2,5,Bridging,,,,,<startL> - Identifying data from written sources to support positions }  - Matching opinions to reasons in informational texts and literature } <endL>,"<startL> - Identifying relevant information from texts on the same content area topic <i>(e.g., in open sorts)</i> }  - Identifying the main purpose of texts } <endL>","<startL> - Paraphrasing narratives or informational text with support <i>(e.g., arranging paragraph strips)</i> }  - Highlighting relevant information in grade-level texts to produce summaries } <endL>",,,,<startL> - Producing persuasive pieces supported by multiple reasons or details }  - Stating reasoning for content-related choices } <endL>,"<startL> - Describing details of processes, procedures, and events }  - Producing 'how to' manuals based on personal experiences or scientific experiments } <endL>",<startL> - Describing the sequence of content-related ideas }  - Providing details and examples about narratives } <endL>
2,2,6,Reaching,,,,,"<startL> - Identifying authorsÆ point of view in texts }  - Evaluating characters, settings, and events from a variety of media } <endL>","<startL> - Describing the connection between a series of historical events, scientific ideas, or steps in technical procedures in texts }  - Connecting ideas with details in extended content area texts } <endL>","<startL> - Identifying setting and character details from grade-level text }  - Determining the central messages, lessons, or morals of fables and folktales from diverse cultures } <endL>",,,,<startL> - Elaborating on opinions and reasons }  - Comparing and contrasting important points and details presented in two texts on the same topic } <endL>,"<startL> - Elaborating topics with facts, definitions, and details }  - Comparing different strategies related to procedures or problem-solving } <endL>",<startL> - Signaling order of events using temporal words and phrases }  - Relating real or imagined experiences or events } <endL>
3,1,1,Entering,"<startL> - Indicating personal points of view in response to oral phrases or short sentences <i>(e.g., by thumbs up/thumbs down; agree/disagree cards)</i> }  - Identifying preferences from short oral statements } <endL>","<startL> - Pointing to visual characteristics of models or real-life objects from oral clues }  - Pairing objects, pictures, or equations as directed by a partner } <endL>","<startL> - Showing what happens next based on familiar oral stories <i>(e.g., by pointing or drawing)</i> }  - Drawing or providing other visual displays of people, animals, or objects in response to oral prompts } <endL>","<startL> - Expressing own ideas through drawings, gestures, words and phrases }  - Expressing agreement/ disagreement nonverbally <i>(e.g., thumbs up or down)</i> } <endL>",,,,<startL> - Stating a claim or position from models or examples }  - Sharing facts as evidence using sentence starters or sentence frames } <endL>,"<startL> - Describing the outcomes of experiments or stories with guidance and visual support }  - Naming or answering Wh- questions related to classroom routines <i>(e.g., 'What do we do now?')</i> } <endL>","<startL> - Responding to questions related to stories or experiences <i>(e.g., 'Who came to the door?')</i> }  - Acting out and naming events or experiences throughout the school day } <endL>",,,
3,1,2,Emerging,"<startL> - Distinguishing opinions from facts from peersÆ oral presentations }  - Categorizing content-based pictures or objects from oral descriptions <i>(e.g., 'animals that form groups to help members survive')</i> } <endL>","<startL> - Matching oral descriptions to photos, pictures, or icons }  - Following simple sequences presented orally to create patterns or sequences } <endL>",<startL> - Identifying the 'who }  - Identifying main materials or resources from oral descriptions } <endL>,<startL> - Asking yes or no questions to request clarification }  - Recognizing how different intonation conveys different meanings } <endL>,,,,"<startL> - Telling what comes next and showing why }  - Sharing reasons for opinions or claims <i>(e.g., science experiments)</i> } <endL>",<startL> - Naming steps in processes or procedures }  - Describing familiar phenomena in words or phrases } <endL>,<startL> - Reproducing facts or statements in context }  - Participating in multi-media presentations based on research } <endL>,,,
3,1,3,Developing,<startL> - Identifying similarities and differences from oral content-related materials or equipment }  - Identifying different points of view in short oral dialogues } <endL>,<startL> - Carrying out steps described orally to solve problems }  - Completing graphic organizers or representations from oral comparisons } <endL>,"<startL> - Identifying linking words or phrases related to passage of time in speech <i>(e.g., 'on Monday' 'the next day')</i> }  - Illustrating events in response to audio recordings of stories or poems } <endL>",<startL> - Negotiating agreement in small groups }  - Expressing own ideas consistent with the topic discussed } <endL>,,,,"<startL> - Describing organizing categories for content-related information <i>(e.g., fish/birds, forests/ deserts)</i> }  - Asking and answering questions in collaborative groups } <endL>",<startL> - Describe relationships between objects or uses for tools }  - Expressing cause and effect of behaviors or events } <endL>,<startL> - Retelling simple stories from picture cues }  - Stating information from personal or school-related experiences } <endL>,,,
3,1,4,Expanding,<startL> - nterpreting oral information from different sides }  - Identifying opposing sides of arguments in dialogues } <endL>,<startL> - Identifying connectors in speech or text read aloud }  - Identifying content-related ideas and details in oral discourse } <endL>,"<startL> - Re-enacting content-related situations or events from oral descriptions }  - Identifying content-related ideas from oral discourse using multi-media <i>(e.g., retracing steps of a process)</i> } <endL>",<startL> - Expressing own ideas and supporting ideas of others }  - Proposing new solutions to resolve conflict in small groups } <endL>,,,,<startL> - Defend claims or opinions to content-related topics }  - Posing different solutions to content-related issues or problems } <endL>,<startL> - Stating details of processes or procedures }  - Describing consequences of behaviors or occurrences } <endL>,"<startL> - Sequencing events in stories with temporal transitions <i>(e.g., 'After the sun set...')</i> }  - Describing situations and events from school and the community } <endL>",,,
3,1,5,Bridging,<startL> - Comparing oral arguments with representations and models }  - Identifying claims in oral presentations } <endL>,<startL> - Identifying the purpose of language/the message in each content area }  - Following a series of short oral directions to create models of content-area phenomena or processes } <endL>,"<startL> - Identifying details of content-related topics from oral discourse }  - Making designs or models following oral directions and specifications <i>(e.g., maps, origami)</i> } <endL>","<startL> - Initiating and maintaining conversations }  - Challenging ideas respectfully }  - Listening to, building, and extending ideas } <endL>",,,,<startL> - Expressing and supporting different ideas with examples }  - Providing evidence to defend own ideas } <endL>,"<startL> - Connecting ideas in content-related presentations }  - Elaborating on the cause of various phenomena <i>(e.g., shooting stars, sunsets)</i> } <endL>",<startL> - Describing main ideas of content-related information }  - Asking and answering questions about information from speakers } <endL>,,,
3,1,6,Reaching,<startL> - Identifying evidence to support claims/ opinions from multimedia }  - Following agreed-upon rules for discussions around differing opinions } <endL>,"<startL> - Distinguishing shades of meaning among closely related words in oral discourse <i>(e.g., jump/leap, huge/ enormous)</i> }  - Comparing strategies from extended oral discourse } <endL>",<startL> - Identifying key ideas or details from texts read aloud or information presented orally }  - Determining the main ideas and supporting details of texts read aloud or information in diverse media and formats } <endL>,<startL> - Sharing topic-related information }  - Building on remarks of others by linking comments }  - Maintaining audience engagement through specific language and body movement } <endL>,,,,<startL> - Connecting personal comments to the remarks of others to build a case for ideas or opinions }  - Summarizing ideas or opinions from two sides } <endL>,<startL> - Elaborating on ideas in light of conversations among students }  - Synthesizing main ideas from supporting details of text read aloud or information obtained from diverse media } <endL>,<startL> - Providing descriptive details of content-related information or activities }  - Naming the steps for producing multimedia presentations with some detail } <endL>,,,
3,2,1,Entering,,,,,"<startL> - Identifying facts in illustrated informational text read orally }  - Identifying language related to likes, needs, and wants in labeled illustrations } <endL>",<startL> - Identifying words and phrases in titles and highlighted texts }  - Matching pictures with graphic information from illustrated texts } <endL>,"<startL> - Identifying key words and phrases in illustrated text }  - Signaling language associated with content-related information <i>(e.g., during preview, view, & review)</i> } <endL>",,,,"<startL> - Indicating decisions or preferences through labeled pictures, words, or phrases }  - Providing evidence of natural phenomena or opinions through labeled drawings } <endL>",<startL> - Listing and illustrating ideas }  - Stating facts associated with images or illustrations } <endL>,"<startL> - Labeling images that illustrate the steps for different processes <i>(e.g., writing workshop)</i> }  - Creating visual representations of ideas or stories } <endL>"
3,2,2,Emerging,,,,,"<startL> - Distinguishing fact from fiction <i>(e.g., using sentence strips or highlighting texts)</i> }  - Identifying claims or opinions in illustrated texts } <endL>","<startL> - Interpreting images, illustrations, and graphics }  - Identifying elements of expository texts <i>(e.g., graphs, captions)</i> in illustrated texts } <endL>","<startL> - Identifying time-related language in context <i>(e.g., in biographies)</i> }  - Illustrating experiences of characters in illustrated statements } <endL>",,,,"<startL> - Participating in shared opinion writing experiences }  - Connecting preferences, choices, or opinions to reasons } <endL>","<startL> - Describing elements of processes or procedures }  - Stating how something happens using illustrations and sequential language <i>(e.g., eruption of volcanoes)</i> } <endL>",<startL> - Listing ideas using graphic organizers }  - Describing visual information } <endL>
3,2,3,Developing,,,,,"<startL> - Identifying different ideas or opinions in written texts }  - Identifying general academic and content-related words and phrases in text relevant to the genre/key use <i>(e.g., 'once upon a time' indicates a fairy tale)</i> } <endL>",<startL> - Sequencing sentences descriptive of processes or procedures in informational texts }  - Locating details in content area texts or media } <endL>,"<startL> - Creating timelines or graphic organizers from illustrated related statements or paragraphs }  - Identifying temporal-related words that signal order of events <i>(e.g., 'In the beginningà')</i> } <endL>",,,,<startL> - Communicating different content-related ideas or opinions }  - Describing pros and cons related to social issues or familiar topics } <endL>,<startL> - Comparing causes of different phenomena }  - Stating ideas about content-related topics } <endL>,"<startL> - Retelling past experiences }  - Expressing ideas in various genres <i>(e.g., poetry, interactive journals)</i> } <endL>"
3,2,4,Expanding,,,,,"<startL> - Sorting content-related information according to specific criteria <i>(e.g., pros and cons)</i> }  - Identifying reasons to strengthen arguments } <endL>",<startL> - Illustrating cause/ effect relationships in content area texts }  - Classifying main ideas and details in informational or explanatory texts } <endL>,<startL> - Ordering a series of events based on familiar texts }  - Identifying main ideas and details in illustrated texts } <endL>,,,,<startL> - Supporting main ideas or opinions with evidence from texts }  - Providing evidence to support or refute peersÆ ideas } <endL>,"<startL> - Relating details and illustrating stages of different cycles <i>(e.g. frogs, plants)</i> }  - Describing strategies to solve problems } <endL>",<startL> - Describing a series of events or procedures }  - Creating stories with details about characters and events } <endL>
3,2,5,Bridging,,,,,<startL> - Identifying data from written sources to support positions }  - Matching opinions to reasons in informational texts and literature } <endL>,"<startL> - Identifying relevant information from texts on the same content area topic <i>(e.g., in open sorts)</i> }  - Identifying the main purpose of texts } <endL>","<startL> - Paraphrasing narratives or informational text with support <i>(e.g., arranging paragraph strips)</i> }  - Highlighting relevant information in grade-level texts to produce summaries } <endL>",,,,<startL> - Producing persuasive pieces supported by multiple reasons or details }  - Stating reasoning for content-related choices } <endL>,"<startL> - Describing details of processes, procedures, and events }  - Producing 'how to' manuals based on personal experiences or scientific experiments } <endL>",<startL> - Describing the sequence of content-related ideas }  - Providing details and examples about narratives } <endL>
3,2,6,Reaching,,,,,"<startL> - Identifying authorsÆ point of view in texts }  - Evaluating characters, settings, and events from a variety of media } <endL>","<startL> - Describing the connection between a series of historical events, scientific ideas, or steps in technical procedures in texts }  - Connecting ideas with details in extended content area texts } <endL>","<startL> - Identifying setting and character details from grade-level text }  - Determining the central messages, lessons, or morals of fables and folktales from diverse cultures } <endL>",,,,<startL> - Elaborating on opinions and reasons }  - Comparing and contrasting important points and details presented in two texts on the same topic } <endL>,"<startL> - Elaborating topics with facts, definitions, and details }  - Comparing different strategies related to procedures or problem-solving } <endL>",<startL> - Signaling order of events using temporal words and phrases }  - Relating real or imagined experiences or events } <endL>
